publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3268706,earthquake,2010-03-01T14:22:49.863Z,2013-07-09T16:00:00.000Z,166.70952,-46.51692,2.997,84.043,ML,,GROPE,reviewed,,nz1dr,11,7,8,0.936,267,0.22548,0.344
3268704,earthquake,2010-03-01T14:11:56.750Z,2013-07-09T16:00:00.000Z,167.33604,-44.85897,2.776,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,7,5,0.459,221,0.37895,0.292
3268702,earthquake,2010-03-01T14:08:16.098Z,2013-07-09T16:00:00.000Z,174.63759,-40.47042,2.538,12,ML,operator assigned,GROPE,reviewed,,nz1dr,26,22,6,0.443,93,0.30031,0.064
3268697,earthquake,2010-03-01T13:43:23.492Z,2013-07-09T16:00:00.000Z,171.04234,-42.96368,2.129,12,ML,operator assigned,GROPE,reviewed,,nz1dr,6,4,3,0.251,234,0.13569,0.125
3268696,earthquake,2010-03-01T13:41:44.283Z,2013-07-09T16:00:00.000Z,171.06204,-43.13833,2.076,5,ML,operator assigned,GROPE,reviewed,,nz1dr,5,4,2,0.246,180,0.0557,0.124
3268690,earthquake,2010-03-01T13:25:32.297Z,2013-07-09T16:00:00.000Z,175.1131,-41.38782,3.178,29.2547,ML,,GROPE,reviewed,,nz1dr,25,22,24,0.107,67,0.19374,0.194
3268688,earthquake,2010-03-01T13:21:34.625Z,2013-07-09T16:00:00.000Z,177.35167,-39.24663,2.248,29.1816,ML,,GROPE,reviewed,,nz1dr,14,12,8,0.191,129,0.19971,0.197
3268684,earthquake,2010-03-01T13:12:21.383Z,2013-07-09T16:00:00.000Z,173.93823,-38.99776,1.35,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,7,2,0.201,274,0.17687,0.119
3268675,earthquake,2010-03-01T12:52:33.567Z,2013-07-09T16:00:00.000Z,176.71288,-39.86689,2.099,36.1295,ML,,GROPE,reviewed,,nz1dr,13,9,8,0.145,84,0.14317,0.167
3268673,earthquake,2010-03-01T12:44:14.512Z,2013-07-09T16:00:00.000Z,172.3013,-41.70158,,91.2598,,,GROPE,reviewed,,nz1dr,11,5,,0.375,108,0.05568,
